ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4
,,70010339,COWBOY 1.2 KG VGR BLACK,1,1,visible,COWBOY calidad Choice marca Vigar.\nPeso Aproximado 1.2 kg.\n1 pieza,"El Cowboy de 1.2 Kg de Vigar Black, calidad Choise, son porciones grandes extraídas a partir del costillar. El hueso de la costilla es recortado de la carne intercostal de forma que quede expuesto desde el borde ventral del longissimus dorsi hasta el extremo de la costilla. Ideal para conocedores de carne de alta calidad que pueden obtener el máximo sabor de la pieza en el asador. Excelente por su tama_o para difrutarlo en compa_ía.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$763,Carne de Res,,Repartidor,http://localhost/meatindeed/wp-content/uploads/2022/01/70010339.jpg,,,,,,,,,0,Peso aprox,1.2 Kg,1,0,Calidad,CHOICE,1,1,Marca,VIGAR,1,1,Piezas,1,1,1
,,70011363,RIBEYE 500 G VGR BLACK,1,1,visible,RIBEYE calidad Choice marca Vigar.\nPeso Aproximado 500 g.\n1 pieza,"El Ribeye de 500 gm consiste en una carne de porciones individuales de 1/2"" extraídas a partir del corte del Beef Rib. La pieza se distingue por ser uno de los cortes finos con buena suavidad, sabor y jugosidad gracias al conjunto de músculos que lo conforman. Marca Vigar Black, calidad Choise. Es una variedad que puede satisfacer a los clientes más exigentes.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$788,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011363.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011363-2.jpg",,,,,,,,,0,Peso aprox,500 g,1,0,Calidad,CHOICE,1,1,Marca,VIGAR,1,1,Piezas,1,1,1
,,70011367,RIBEYE 800 G VGR BLACK,1,1,visible,RIBEYE calidad Choice marca Vigar.\nPeso Aproximado 800 g.\n1 pieza,"El Ribeye de 800 gm es un corte en porción grande y tiene un balance extraordinario de suavidad, sabor y jugosidad ya que es de marca Vigar Black y calidad Choise. Por el grosor, calidad y tipo de corte, es ideal para asadores y disfrutar en compañía. La grasa externa es mínima, lo que destaca es el marmoleado con el que se obtiene un sabor inigualable.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$788,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011367.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011367-2.jpg",,,,,,,,,0,Peso aprox,800 g,1,0,Calidad,CHOICE,1,1,Marca,VIGAR,1,1,Piezas,1,1,1
,,70017368,PORTERHOUSE 1 KG VGR BLACK,1,1,visible,PORTERHOUSE calidad Choice marca Vigar.\nPeso Aproximado 1 Kg.\n1 pieza,"El Porterhouse de 1 Kg. es un corte espectacular, extríado de la porción del lomo corto anterior al gluteus medius. Compuesto principalmente por los músculos longissimus dorsi y el psoas major._ Marca Vigar Black, calidad Choise, que le ofrece el sabor inigualable de la carne que está cerca del hueso.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$742,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70010338.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70010338-2.jpg",,,,,,,,,0,Peso aprox,1Kg,1,0,Calidad,CHOICE,1,1,Marca,VIGAR,1,1,Piezas,1,1,1
,,70017370,PORTERHOUSE 1.5 KG VGR BLACK,1,1,visible,PORTERHOUSE calidad Choice marca Vigar.\nPeso Aproximado 1.5 Kg.\n1 pieza,"El Porterhouse de 1.5 Kg.  es un corte grande que por tener hueso ofrece un sabor especial, característico de las carnes cercanas a los husos y que además visualmente es llamativo y resulta apetitoso. Es de marca Vigar Black y claidad Choise, lo que garantiza sabor y textura para preparar en asador y disfrutar con conocedores.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$742,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70017370.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017370-2.jpg",,,,,,,,,0,Peso aprox,1.5Kg,1,0,Calidad,CHOICE,1,1,Marca,VIGAR,1,1,Piezas,1,1,1
,,70010304,COWBOY 18 OZ CAB,1,1,visible,COWBOY calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 500 g.\n2 piezas por pedido.,"El Cowboy de 500 gm aproximadamente, marca Certified Angus Beef, calidad High Choise, consiste en porciones individuales extraÍdas del costillar de la res. El hueso es largo y da una extraordinaria apariencia además del delicioso sabor que da a la carne. Estas piezas tienen una calidad que garantiza un gran marmoleado, textura y sabor, cada una pesa aproximadamente  510 gm.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$840,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70010304.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70010304-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70010304-3.jpg",,,,,,,,,0,Peso aprox,500 Kg,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70019307,FLAP MEAT 400 GRS CAB,1,1,visible,FLAP MEAT calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 400 g.\n2 piezas por pedido.,"El Flap Meat de 400 gm marca Certified Angus Beef y de calidad High Choise, es una maravillosa pieza extraÍda de la parte baja que cubre el estómago de la res y de los costados. Es un corte fino de gran sabor, calidad y jugosidad gracias a la grasa intermuscular, o marmoleo que tiene. La carne tiene una textura, marmoleo y apariencia que se lucirá no sólo en el asador, sino en el plato servido.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$704,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70019307.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70019307-2.jpg",,,,,,,,,0,Peso aprox,400 kg,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70017909,NEW YORK 12 OZ EE CAB           ,1,1,visible,NEWYORK calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 340 g.\n3 piezas por pedido.,"El corte New York de 340 gm aprox, de la marca Certified Angus Beef, calidad High Choise, es uno de los cortes más equilibrados en cuanto al marmoleo, jugosidad y sabor. Es una excelente opción para asar.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$681,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70017909.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017909-2.jpg",,,,,,,,,0,Peso aprox, 1kg ,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,3,1,1
,,70017920,NEW YORK 14 OZ EE CAB          ,1,1,visible,NEWYORK calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 395 g.\n2 piezas por pedido.,"El corte New York de 400 gm aproximadamente, de la marca Certified Angus Beef, calidad High Choise, es uno de los cortes más equilibrados en cuanto al marmoleo, jugosidad y sabor. Es una excelente opción para asar.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$683,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70017920.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017920-2.jpg",,,,,,,,,0,Peso aprox,1kg,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70017310,PORTERHOUSE 16 OZ CAB           ,1,1,visible,PORTERHOUSE calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 455  g.\n2 piezas por pedido.,"El corte Porterhouse, marca Certified Angus Beef, calidad Choise, de 16 oz,  viene del final del Short Loin que es mas largo y el cual tiene una porción mayor de tenderloin, cortado de la misma manera que el T-Bone, la diferencia es el tamaño del corte transversal de los músculos, ya que estos son mas anchos en esa parte de la res. Este tipo de piezas cuentan con el excelente sabor de la carne cercana al hueso además de su alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$753,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70017310.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017310-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017310-3.jpg",,,,,,,,,0,Peso aprox, 454 g ,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70017326,PORTERHOUSE 35 OZ CAB          ,1,1,visible,PORTERHOUSE calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 1 Kg.\n1 pieza.,"El corte Porterhouse, marca Certified Angus Beef, calidad Choise, de 35 oz,  viene del final del Short Loin que es mas largo y el cual tiene una porción mayor de tenderloin, cortado de la misma manera que el T-Bone, la diferencia es el tamaño del corte transversal de los músculos, ya que estos son mas anchos en esa parte de la res. Este tipo de piezas cuentan con el excelente sabor de la carne cercana al hueso además de su alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$911,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70017326.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017326-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70017326-3.jpg",,,,,,,,,0,Peso aprox,1 Kg,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70011265,RIBEYE LIPON  14 OZ CAB         ,1,1,visible,RIBEYE LIP ON calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 397 g.\n2 pieza por pedido.,"El Ribeye Lip On de 400 gm aprox. marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$1,262",Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011265.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011265-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011265-3.jpg",,,,,,,,,0,Peso aprox,397 g,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70011236,RIBEYE LIPON 10 OZ CAB    ,1,1,visible,RIBEYE LIP ON calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 283 g.\n4 pieza por pedido.,"El Ribeye Lip On de 283 gm aprox. marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$958,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011236.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011236-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011236-3.jpg",,,,,,,,,0,Peso aprox,283 g,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,4,1,1
,,70011249,RIBEYE LIPON 12 OZ CAB       ,1,1,visible,RIBEYE LIP ON calidad High Choice marca Certified Angus Beef.\nPeso Aproximado por pieza 340 g.\n3 pieza por pedido.,"El Ribeye Lip On de 340 gm aproximadamente, marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$940,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011249.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011249-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011249-3.jpg",,,,,,,,,0,Peso aprox,340 g ,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,3,1,1
130,simple,70011279,RIBEYE LIPON 16 OZ CAB         ,1,1,visible,RIBEYE LIPON calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 455 g.\n2 piezas por pedido,"El Ribeye Lip On de 450 gm aprox. marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$970,Carne de Res,"Certified Angus Beef, High Choice",Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011279.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011279-3.jpg",,,,,,,,,0,Peso aprox.,454 g,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70011295,RIBEYE ROLL 25 OZ CAB         ,1,1,visible,RIBEYE ROLL calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 707 g.\n1 pieza,"El Ribeye Roll de 700 gm aproximadamente, marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$1,109",Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70011295.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011295-2.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70011295-3.jpg",,,,,,,,,0,Peso aprox.,707g,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70012313,SHORT RIB 14 OZ CAB         ,1,1,visible,SHORT RIB calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 790 g.\n1 pieza,"OJO EL PESO EQUIVOCADO El Short Rib , marca Certified Angus Beef, calidad High Choise, es ideal para parrillar, estofar o asar, dependiendo el platillo y textura que se desee obtener. Los huesos de estas costillas son pràcticamente planos y estàn cubiertos con 1-2"" de carne en la parte superior. Este tipo de costillas son una gran elecciÑn cuando se desea un sabor exquisito. La pieza tiene 790 gm aproximadamente.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$683,Carne de Res,,Repartidor,"http://localhost/meatindeed/wp-content/uploads/2022/01/70012313.jpg, http://localhost/meatindeed/wp-content/uploads/2022/01/70012313-2.jpg",,,,,,,,,0,Peso aprox.,790 g,1,0,Calidad,HIGH CHOICE ,1,1,Marca,CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
